Name,Country,Market Value
Atlas Copco,Sweden,42.94
MTR,Hong Kong,33.258
Suncorp Group,Australia,12.639
Emirates NBD,United Arab Emirates,12.484
LG Chem,South Korea,17.692
QBE Insurance Group,Australia,13.277
Northern Trust,United States,19.756
CME Group,United States,40.092
Otsuka Holding,Japan,25.053
Altice,Netherlands,30.853
American Tower,United States,52.169
Sinopharm Group,China,12.696
Falabella,Chile,21.319
Bharat Petroleum,India,15.206
Newell Brands,United States,22.297
Akbank,Turkey,9.171
Norilsk Nickel,Russia,24.86
Atlantia,Italy,21.1
Tesco,United Kingdom,19.218
MGM Resorts,United States,16.141
Dollar Tree,United States,18.339
GFNorte,Mexico,16.241
Broadcom,Singapore,87.597
Woori Bank,South Korea,8.246
Guotai Junan Securities,China,20.286
Constellation Brands,United States,33.402
Royal Caribbean Cruises,United States,20.92
Air Products & Chemicals,United States,29.377
Infosys,India,34.926
BYD,China,18.378
KeyCorp,United States,18.87
Johnson Controls International,Ireland,38.478
Asahi Kasei,Japan,13.131
New World Development,Hong Kong,12.082
Siam Cement,Thailand,19.085
Toray Industries,Japan,14.184
Grupo Mexico,Mexico,23.656
E.ON,Germany,16.888
Dell Technologies,United States,13.475
Nokia,Finland,30.349
EletrobrÃ¡s,Brazil,7.195
Legend Holding,China,7.005
Dollar General,United States,19.072
Banco de Sabadell,Spain,10.005
Eversource Energy,United States,18.823
China Taiping Insurance,Hong Kong,8.613
Hyundai Heavy Industries,South Korea,11.047
Sekisui House,Japan,11.306
Siam Commercial Bank,Thailand,16.095
China Eastern Airlines,China,12.94
Cemex,Mexico,13.094
Sumitomo Realty,Japan,12.27
Murata Manufacturing,Japan,28.4
WEC Energy Group,United States,19.048
JXTG Holdings,Japan,16.602
China Fortune Land Development,China,15.544
Evonik,Germany,14.917
Henderson Land,Hong Kong,22.938
China Southern Airlines,China,10.434
ThyssenKrupp Group,Germany,13.549
Whirlpool,United States,12.442
Paccar,United States,23.59
Public Bank,Malaysia,17.414
Bank of Ningbo,China,10.294
Valeo,France,15.392
Asahi Group Holdings,Japan,17.802
Unibail-Rodamco,France,23.585
Delphi Automotive,United Kingdom,20.234
Bunge,United States,10.596
Capgemini,France,15.717
Mylan,United Kingdom,21.206
Sodexo,France,17.478
Kasikornbank,Thailand,13.385
TELUS,Canada,19.547
Formosa Chemicals,Taiwan,17.864
Kao Corp,Japan,27.327
VMware,United States,37.786
Kweichow Moutai,China,71.537
SCA,Sweden,21.637
Fidelity National Information,United States,26.26
Aeon,Japan,12.378
Centene,United States,12.221
Great Wall Motor,China,15.179
Telkom Indonesia,Indonesia,30.437
Molson Coors Brewing,United States,20.531
Naspers,South Africa,75.355
Stanley Black & Decker,United States,20.182
Nucor,United States,19.385
Transneft,Russia,4.73
JD.com,China,45.719
National Bank of Abu Dhabi,United Arab Emirates,16.094
West Japan Railway,Japan,12.763
DaVita,United States,13.046
Commerzbank,Germany,11.025
Fortescue Metals Group,Australia,14.287
Nan Ya Plastics,Taiwan,18.518
Solvay,Belgium,12.876
Longfor Properties,China,10.142
Rogers Communications,Canada,22.947
Barrick Gold,Canada,22.317
China Reinsurance Group,China,9.895
CIMB Group Holdings,Malaysia,10.918
Krung Thai Bank,Thailand,16.966
Tatneft,Russia,14.577
WH Group,Hong Kong,12.841
Kellogg,United States,25.41
Recruit Holdings,Japan,28.967
Fast Retailing,Japan,31.76
EstÃ©e Lauder,United States,30.836
Allied Irish Banks,Ireland,14.553
PKN Orlen,Poland,11.176
BAIC Motor,China,8.309
Mazda Motor,Japan,8.109
Weyerhaeuser,United States,26.11
Woolworths,Australia,25.711
Dong Energy,Denmark,16.445
Level 3 Communications,United States,21.114
Franklin Resources,United States,23.619
Nidec,Japan,28.094
George Weston,Canada,10.942
Lenovo Group,Hong Kong,7.72
LG Display,South Korea,9.415
Activision Blizzard,United States,37.299
Grupo Aval,Colombia,9.209
All Nippon Airways,Japan,10.435
Reinsurance Group of America,United States,8.079
Tesoro,United States,9.41
Samsung C&T,South Korea,21.221
RWE Group,Germany,10.28
Guosen Securities,China,17.603
TransCanada,Canada,40.608
Adobe Systems,United States,64.42
Teliasonera,Sweden,17.011
Dentsu,Japan,15.51
Deutsche Boerse,Germany,17.93
Daiwa Securities,Japan,9.85
GF Securities,China,18.419
Textron,United States,12.875
Mitsubishi Heavy Industries,Japan,13.361
Republic Services,United States,21.316
Ericsson,Sweden,21.423
Isuzu Motors,Japan,10.785
Anhui Conch Cement,China,16.919
First Data,United States,13.959
Vonovia,Germany,16.828
Telenor,Norway,24.356
Halliburton,United States,43.069
PPG,United States,27.265
CGN Power,China,14.155
Bankia,Spain,13.184
Chunghwa Telecom,Taiwan,26.472
Veolia Environnement,France,10.15
Occidental Petroleum,United States,48.161
J Sainsbury,United Kingdom,7.1
Bancolombia,Colombia,8.887
Sherwin-Williams,United States,29.159
NVIDIA,United States,59.094
HAL Trust,Netherlands,15.07
VF,United States,22.467
Yum Brands,United States,22.745
Qingdao Haier,China,10.606
Prologis,United States,28.374
Goodyear,United States,8.863
Liberty Interactive,United States,9.444
Coca-Cola European Partners,United Kingdom,17.869
Ross Stores,United States,24.731
CNH Industrial,United Kingdom,13.549
Macy's,United States,8.881
XL Group,Bermuda,10.596
Parker-Hannifin,United States,21.463
Sabanci Holding,Turkey,5.433
Annaly Capital Management,United States,11.524
Industrial Bank of Korea,South Korea,6.018
Hanwha,South Korea,2.195
Essilor International,France,25.736
Kotak Mahindra Bank,India,25.066
Kyushu Electric Power,Japan,5.112
Scor,France,6.825
Chongqing Changan Auto,China,10.244
Husky Energy,Canada,11.36
China Energy Engineering,China,5.602
Abertis,Spain,15.962
Huatai Securities,China,16.904
Luxottica Group,Italy,25.915
Teck Resources,Canada,13.595
Lotte Chemical,South Korea,11.137
Tohoku Electric Power,Japan,6.757
Western Digital,United States,24.535
National Bank of Kuwait,Kuwait,14.026
Rolls-Royce Holdings,United Kingdom,18.174
